ensembl_gene_id	external_gene_id	refseq_mrna
ENSG00000121410	A1BG	NM_130786
ENSG00000148584	A1CF	NM_001198820
ENSG00000148584	A1CF	NM_014576
ENSG00000148584	A1CF	NM_001198818
ENSG00000148584	A1CF	NM_138933
ENSG00000148584	A1CF	NM_138932
ENSG00000148584	A1CF	NM_001198819
ENSG00000175899	A2M	NM_000014
ENSG00000166535	A2ML1	NM_144670
ENSG00000184389	A3GALT2	NM_001080438
ENSG00000128274	A4GALT	NM_017436
ENSG00000118017	A4GNT	NM_016161
ENSG00000094914	AAAS	NM_015665
ENSG00000094914	AAAS	NM_001173466
ENSG00000081760	AACS	NM_023928
ENSG00000114771	AADAC	NM_001086
ENSG00000197953	AADACL2	NM_207365
ENSG00000188984	AADACL3	NM_001103169
ENSG00000188984	AADACL3	NM_001103170
ENSG00000204518	AADACL4	NM_001013630
ENSG00000109576	AADAT	NM_016228
ENSG00000109576	AADAT	NM_182662
ENSG00000158122	AAED1	NM_153698
ENSG00000103591	AAGAB	NM_001271885
ENSG00000103591	AAGAB	NM_001271886
ENSG00000103591	AAGAB	NM_024666
ENSG00000115977	AAK1	NM_014911
ENSG00000087884	AAMDC	NM_024684
ENSG00000127837	AAMP	NM_001087
ENSG00000129673	AANAT	NM_001166579
ENSG00000129673	AANAT	NM_001088
ENSG00000131043	AAR2	NM_001271874
ENSG00000131043	AAR2	NM_015511
ENSG00000205002	AARD	NM_001025357
ENSG00000090861	AARS	NM_001605
ENSG00000124608	AARS2	NM_020745
ENSG00000266967	AARSD1	NM_001261434
ENSG00000157426	AASDH	NM_181806
ENSG00000149313	AASDHPPT	NM_015423
ENSG00000008311	AASS	NM_005763
ENSG00000108270	AATF	NM_012138
ENSG00000181409	AATK	NM_001080395
ENSG00000181409	AATK	NM_004920
ENSG00000183044	ABAT	NM_020686
ENSG00000183044	ABAT	NM_001127448
ENSG00000183044	ABAT	NM_000663
ENSG00000165029	ABCA1	NM_005502
ENSG00000154263	ABCA10	NM_080282
ENSG00000144452	ABCA12	NM_173076
ENSG00000144452	ABCA12	NM_015657
ENSG00000179869	ABCA13	NM_152701
ENSG00000107331	ABCA2	NM_001606
ENSG00000107331	ABCA2	NM_212533
ENSG00000167972	ABCA3	NM_001089
ENSG00000198691	ABCA4	NM_000350
ENSG00000154265	ABCA5	NM_018672
ENSG00000154265	ABCA5	NM_172232
ENSG00000154262	ABCA6	NM_080284
ENSG00000064687	ABCA7	NM_019112
ENSG00000141338	ABCA8	NM_007168
ENSG00000154258	ABCA9	NM_080283
ENSG00000085563	ABCB1	NM_000927
ENSG00000135776	ABCB10	NM_012089
ENSG00000073734	ABCB11	NM_003742
ENSG00000005471	ABCB4	NM_018849
ENSG00000005471	ABCB4	NM_000443
ENSG00000005471	ABCB4	NM_018850
ENSG00000004846	ABCB5	NM_001163941
ENSG00000004846	ABCB5	NM_001163942
ENSG00000004846	ABCB5	NM_001163993
ENSG00000004846	ABCB5	NM_178559
ENSG00000115657	ABCB6	NM_005689
ENSG00000131269	ABCB7	NM_001271696
ENSG00000131269	ABCB7	NM_004299
ENSG00000131269	ABCB7	NM_001271697
ENSG00000131269	ABCB7	NM_001271699
ENSG00000131269	ABCB7	NM_001271698
ENSG00000197150	ABCB8	NM_007188
ENSG00000150967	ABCB9	NM_001243014
ENSG00000150967	ABCB9	NM_203444
ENSG00000150967	ABCB9	NM_019625
ENSG00000150967	ABCB9	NM_001243013
ENSG00000150967	ABCB9	NM_019624
ENSG00000103222	ABCC1	NM_004996
ENSG00000124574	ABCC10	NM_001198934
ENSG00000124574	ABCC10	NM_033450
ENSG00000121270	ABCC11	NM_145186
ENSG00000121270	ABCC11	NM_033151
ENSG00000121270	ABCC11	NM_032583
ENSG00000140798	ABCC12	NM_033226
ENSG00000023839	ABCC2	NM_000392
ENSG00000108846	ABCC3	NM_001144070
ENSG00000108846	ABCC3	NM_003786
ENSG00000125257	ABCC4	NM_005845
ENSG00000125257	ABCC4	NM_001105515
ENSG00000114770	ABCC5	NM_005688
ENSG00000114770	ABCC5	NM_001023587
ENSG00000091262	ABCC6	NM_001171
ENSG00000091262	ABCC6	NM_001079528
ENSG00000006071	ABCC8	NM_000352
ENSG00000069431	ABCC9	NM_020297
ENSG00000069431	ABCC9	NM_005691
ENSG00000101986	ABCD1	NM_000033
ENSG00000173208	ABCD2	NM_005164
ENSG00000117528	ABCD3	NM_002858
ENSG00000117528	ABCD3	NM_001122674
ENSG00000119688	ABCD4	NM_005050
ENSG00000164163	ABCE1	NM_001040876
ENSG00000164163	ABCE1	NM_002940
ENSG00000204574	ABCF1	NM_001025091
ENSG00000204574	ABCF1	NM_001090
ENSG00000033050	ABCF2	NM_005692
ENSG00000033050	ABCF2	NM_007189
ENSG00000161204	ABCF3	NM_018358
ENSG00000160179	ABCG1	NM_207627
ENSG00000160179	ABCG1	NM_207628
ENSG00000160179	ABCG1	NM_207629
ENSG00000160179	ABCG1	NM_016818
ENSG00000160179	ABCG1	NM_004915
ENSG00000160179	ABCG1	NM_207174
ENSG00000118777	ABCG2	NM_001257386
ENSG00000118777	ABCG2	NM_004827
ENSG00000172350	ABCG4	NM_022169
ENSG00000172350	ABCG4	NM_001142505
ENSG00000138075	ABCG5	NM_022436
ENSG00000143921	ABCG8	NM_022437
ENSG00000143994	ABHD1	NM_032604
ENSG00000144827	ABHD10	NM_018394
ENSG00000106077	ABHD11	NM_148913
ENSG00000106077	ABHD11	NM_148912
ENSG00000106077	ABHD11	NM_001145364
ENSG00000100997	ABHD12	NM_015600
ENSG00000100997	ABHD12	NM_001042472
ENSG00000131969	ABHD12B	NM_181814
ENSG00000131969	ABHD12B	NM_001206673
ENSG00000139826	ABHD13	NM_032859
ENSG00000248487	ABHD14A	NM_015407
ENSG00000114779	ABHD14B	NM_032750
ENSG00000168792	ABHD15	NM_198147
ENSG00000204427	ABHD16A	NM_021160
ENSG00000204427	ABHD16A	NM_001177515
ENSG00000183260	ABHD16B	NM_080622
ENSG00000129968	ABHD17A	NM_001130111
ENSG00000129968	ABHD17A	NM_031213
