ensembl_gene_id	external_gene_id	refseq_mrna
ENSMUSG00000021252	0610007P14Rik	NM_021446
ENSMUSG00000007777	0610009B22Rik	NM_025319
ENSMUSG00000037361	0610009D07Rik	NM_025323
ENSMUSG00000024442	0610009O20Rik	NM_024179
ENSMUSG00000042208	0610010F05Rik	NM_027860
ENSMUSG00000020831	0610010K14Rik	NM_001177606
ENSMUSG00000020831	0610010K14Rik	NM_001177607
ENSMUSG00000020831	0610010K14Rik	NM_001177603
ENSMUSG00000020831	0610010K14Rik	NM_145758
ENSMUSG00000020831	0610010K14Rik	NM_001177601
ENSMUSG00000020831	0610010K14Rik	NM_026757
ENSMUSG00000025731	0610011F06Rik	NM_026686
ENSMUSG00000058706	0610030E20Rik	NM_026696
ENSMUSG00000001418	0610031J06Rik	NM_020003
ENSMUSG00000062691	1110001A16Rik	NM_001177403
ENSMUSG00000062691	1110001A16Rik	NM_001177402
ENSMUSG00000019689	1110001J03Rik	NM_025363
ENSMUSG00000022972	1110004E09Rik	NM_026502
ENSMUSG00000030663	1110004F10Rik	NM_019772
ENSMUSG00000037960	1110007C09Rik	NM_026738
ENSMUSG00000029600	1110008J03Rik	NM_029096
ENSMUSG00000029600	1110008J03Rik	NM_133908
ENSMUSG00000021023	1110008L16Rik	NM_025373
ENSMUSG00000039195	1110008P14Rik	NM_198001
ENSMUSG00000045237	1110012L19Rik	NM_026787
ENSMUSG00000042350	1110018G07Rik	NM_178065
ENSMUSG00000037971	1110032A03Rik	NM_023483
ENSMUSG00000044991	1110034G24Rik	NM_028637
ENSMUSG00000063236	1110038F14Rik	NM_054099
ENSMUSG00000040591	1110051M20Rik	NM_175123
ENSMUSG00000037669	1110057K04Rik	NM_172401
ENSMUSG00000037669	1110057K04Rik	NM_001167767
ENSMUSG00000035171	1110059E24Rik	NM_025423
ENSMUSG00000078570	1110065P20Rik	NM_001142727
ENSMUSG00000045414	1190002N15Rik	NM_001033145
ENSMUSG00000022008	1200011I18Rik	NM_026177
ENSMUSG00000020783	1200014J11Rik	NM_025818
ENSMUSG00000035757	1300018J18Rik	NM_027905
ENSMUSG00000074578	1500012F01Rik	NM_001081005
ENSMUSG00000026051	1500015O10Rik	NM_024283
ENSMUSG00000024118	1600002H07Rik	NM_028056
ENSMUSG00000035595	1600002K03Rik	NM_027207
ENSMUSG00000050088	1600012H06Rik	NM_001083881
ENSMUSG00000050088	1600012H06Rik	NM_001083880
ENSMUSG00000050088	1600012H06Rik	NM_026451
ENSMUSG00000050088	1600012H06Rik	NM_001083882
ENSMUSG00000054676	1600014C10Rik	NM_001085385
ENSMUSG00000054676	1600014C10Rik	NM_028166
ENSMUSG00000032068	1600029D21Rik	NM_029639
ENSMUSG00000044320	1700001O22Rik	NM_198000
ENSMUSG00000032300	1700017B05Rik	NM_028820
ENSMUSG00000068299	1700019G17Rik	NM_001145895
ENSMUSG00000068299	1700019G17Rik	NM_029331
ENSMUSG00000038987	1700019L03Rik	NM_025619
ENSMUSG00000019797	1700021F05Rik	NM_026411
ENSMUSG00000035629	1700021K19Rik	NM_001200038
ENSMUSG00000035629	1700021K19Rik	NM_172615
ENSMUSG00000028451	1700022I11Rik	NM_026088
ENSMUSG00000032666	1700025G04Rik	NM_197990
ENSMUSG00000089798	1700028K03Rik	NM_182745
ENSMUSG00000089798	1700028K03Rik	NM_175241
ENSMUSG00000061633	1700029P11Rik	NM_025503
ENSMUSG00000031847	1700030J22Rik	NM_027103
ENSMUSG00000052794	1700030K09Rik	NM_028170
ENSMUSG00000005983	1700037C18Rik	NM_028484
ENSMUSG00000027327	1700037H04Rik	NM_026091
ENSMUSG00000094103	1700047I17Rik2	NM_001100116
ENSMUSG00000070709	1700049G17Rik	NM_028538
ENSMUSG00000061759	1700052N19Rik	NM_024261
ENSMUSG00000037263	1700055N04Rik	NM_028545
ENSMUSG00000038323	1700066M21Rik	NM_028546
ENSMUSG00000078667	1700094D03Rik	NM_028567
ENSMUSG00000032611	1700102P08Rik	NM_053216
ENSMUSG00000008307	1700109H08Rik	NM_029843
ENSMUSG00000063458	1700112E06Rik	NM_028275
ENSMUSG00000040822	1700123O20Rik	NM_021437
ENSMUSG00000071653	1810009A15Rik	NM_025463
ENSMUSG00000056313	1810011O10Rik	NM_026931
ENSMUSG00000022507	1810013L24Rik	NM_001081400
ENSMUSG00000048429	1810026J23Rik	NM_178619
ENSMUSG00000044148	1810030O07Rik	NM_175141
ENSMUSG00000062760	1810041L15Rik	NM_001163145
ENSMUSG00000020284	1810043G02Rik	NM_026431
ENSMUSG00000078572	1810043H04Rik	NM_001110242
ENSMUSG00000035372	1810055G02Rik	NM_028077
ENSMUSG00000039339	2010001E11Rik	NM_001163503
ENSMUSG00000067297	2010002M12Rik	NM_053217
ENSMUSG00000062376	2010012O05Rik	NM_025563
ENSMUSG00000021290	2010107E04Rik	NM_027360
ENSMUSG00000020083	2010107G23Rik	NM_027251
ENSMUSG00000063522	2010109I03Rik	NM_025929
ENSMUSG00000021458	2010111I01Rik	NM_028079
ENSMUSG00000030587	2200002D01Rik	NM_028179
ENSMUSG00000035401	2210018M11Rik	NM_172280
ENSMUSG00000036552	2210404J11Rik	NM_001039552
ENSMUSG00000036552	2210404J11Rik	NM_001034891
ENSMUSG00000078546	2210404O09Rik	NM_001256493
ENSMUSG00000032403	2300009A05Rik	NM_027090
ENSMUSG00000025384	2310003H01Rik	NM_027980
ENSMUSG00000041974	2310008H04Rik	NM_146068
ENSMUSG00000079283	2310009B15Rik	NM_001081226
ENSMUSG00000033967	2310014L17Rik	NM_029809
ENSMUSG00000049643	2310022A10Rik	NM_175107
ENSMUSG00000031983	2310022B05Rik	NM_175149
ENSMUSG00000032062	2310030G06Rik	NM_025865
ENSMUSG00000020441	2310033P09Rik	NM_024210
ENSMUSG00000026319	2310035C23Rik	NM_173187
ENSMUSG00000026319	2310035C23Rik	NM_029349
ENSMUSG00000041203	2310036O22Rik	NM_026760
ENSMUSG00000078486	2310042D19Rik	NM_172417
ENSMUSG00000034157	2310044G17Rik	NM_173735
ENSMUSG00000002345	2310045N01Rik	NM_001145552
ENSMUSG00000045176	2310047M10Rik	NM_028005
ENSMUSG00000040177	2310057M21Rik	NM_026655
ENSMUSG00000020747	2310067B10Rik	NM_028014
ENSMUSG00000045411	2410002F23Rik	NM_025880
ENSMUSG00000036873	2410004B18Rik	NM_025555
ENSMUSG00000049760	2410015M20Rik	NM_153152
ENSMUSG00000046791	2410016O06Rik	NM_023633
ENSMUSG00000034173	2410018M08Rik	NM_183088
ENSMUSG00000038065	2410066E13Rik	NM_026629
ENSMUSG00000039801	2410089E03Rik	NM_001162906
ENSMUSG00000024726	2410127L17Rik	NM_026120
ENSMUSG00000032840	2410131K14Rik	NM_001081236
ENSMUSG00000071632	2510002D24Rik	NM_001033164
ENSMUSG00000036955	2510003E04Rik	NM_028197
ENSMUSG00000043391	2510009E07Rik	NM_001001881
ENSMUSG00000044496	2510039O18Rik	NM_029841
ENSMUSG00000068011	2510049J12Rik	NM_001101431
ENSMUSG00000031242	2610002M06Rik	NM_025921
ENSMUSG00000060301	2610008E11Rik	NM_001004362
ENSMUSG00000022701	2610015P09Rik	NM_027801
ENSMUSG00000031112	2610018G03Rik	NM_133729
ENSMUSG00000050052	2610019F03Rik	NM_173744
ENSMUSG00000030924	2610020H08Rik	NM_001004187
ENSMUSG00000030924	2610020H08Rik	NM_028129
ENSMUSG00000039043	2610034B18Rik	NM_027420
ENSMUSG00000071302	2610044O15Rik8	NM_153780
ENSMUSG00000033712	2610301G19Rik	NM_146055
ENSMUSG00000049916	2610318N02Rik	NM_183287
ENSMUSG00000038005	2700029M09Rik	NM_028299
ENSMUSG00000034601	2700049A03Rik	NM_001163378
ENSMUSG00000034601	2700049A03Rik	NM_029818
ENSMUSG00000039990	2700050L05Rik	NM_178115
ENSMUSG00000021807	2700060E02Rik	NM_026528
ENSMUSG00000024273	2700062C07Rik	NM_026529
ENSMUSG00000021041	2700073G19Rik	NM_001013372
ENSMUSG00000053080	2700081O15Rik	NM_175381
ENSMUSG00000072704	2700089E24Rik	NM_001163445
ENSMUSG00000076437	2700094K13Rik	NM_001037279
ENSMUSG00000076437	2700094K13Rik	NM_001033166
ENSMUSG00000062198	2700097O09Rik	NM_028314
ENSMUSG00000031984	2810004N23Rik	NM_025615
ENSMUSG00000047635	2810006K23Rik	NM_028310
ENSMUSG00000047635	2810006K23Rik	NM_001134717
ENSMUSG00000020491	2810021J22Rik	NM_172403
ENSMUSG00000028060	2810403A07Rik	NM_028814
ENSMUSG00000075700	2810407C02Rik	NM_001040396
ENSMUSG00000018570	2810408A11Rik	NM_027419
ENSMUSG00000039725	2810408M09Rik	NM_001007581
ENSMUSG00000040204	2810417H13Rik	NM_026515
ENSMUSG00000032712	2810474O19Rik	NM_026054
ENSMUSG00000051339	2900026A02Rik	NM_172884
ENSMUSG00000020381	3010026O09Rik	NM_026543
ENSMUSG00000028398	3110001D03Rik	NM_025849
ENSMUSG00000079737	3110001I22Rik	NM_025653
ENSMUSG00000024410	3110002H16Rik	NM_029623
ENSMUSG00000079450	3110007F17Rik	NM_028426
ENSMUSG00000094958	3110021N24Rik	NM_001254730
ENSMUSG00000025102	3110040N11Rik	NM_026077
ENSMUSG00000037818	3110057O12Rik	NM_026622
ENSMUSG00000046806	3110062M04Rik	NM_199145
ENSMUSG00000046806	3110062M04Rik	NM_001135611
ENSMUSG00000053553	3110082I17Rik	NM_028469
ENSMUSG00000035399	3230401D17Rik	NM_025699
ENSMUSG00000063364	3300002I08Rik	NM_027017
ENSMUSG00000071540	3425401B19Rik	NM_001195097
ENSMUSG00000031125	3830403N18Rik	NM_027510
ENSMUSG00000020101	4632428N05Rik	NM_028732
ENSMUSG00000020101	4632428N05Rik	NM_001159572
ENSMUSG00000030641	4632434I11Rik	NM_001080995
ENSMUSG00000024481	4833403I15Rik	NM_029008
ENSMUSG00000062822	4833420G17Rik	NM_026127
ENSMUSG00000062822	4833420G17Rik	NM_001113550
ENSMUSG00000025871	4833439L19Rik	NM_001252647
ENSMUSG00000025871	4833439L19Rik	NM_001252648
ENSMUSG00000025871	4833439L19Rik	NM_133797
ENSMUSG00000025871	4833439L19Rik	NM_001252646
ENSMUSG00000025871	4833439L19Rik	NM_001252645
ENSMUSG00000029828	4921507P07Rik	NM_027564
ENSMUSG00000036934	4921524J17Rik	NM_025722
ENSMUSG00000020434	4921536K21Rik	NM_026150
ENSMUSG00000056919	4922501C03Rik	NM_199316
ENSMUSG00000027309	4930402H24Rik	NM_029432
ENSMUSG00000020234	4930404N11Rik	NM_001014836
ENSMUSG00000051278	4930422G04Rik	NM_197997
ENSMUSG00000037466	4930427A07Rik	NM_134041
ENSMUSG00000046567	4930430F08Rik	NM_175128
ENSMUSG00000037251	4930444A02Rik	NM_029037
ENSMUSG00000069712	4930444G20Rik	NM_053264
ENSMUSG00000059920	4930453N24Rik	NM_026273
ENSMUSG00000090202	4930503B20Rik	NM_029144
ENSMUSG00000072595	4930503E14Rik	NM_029131
ENSMUSG00000044906	4930503L19Rik	NM_172967
ENSMUSG00000090394	4930523C07Rik	NM_001162896
ENSMUSG00000048905	4930539E08Rik	NM_172450
ENSMUSG00000013353	4931406B18Rik	NM_028737
ENSMUSG00000031938	4931406C07Rik	NM_001199484
ENSMUSG00000031938	4931406C07Rik	NM_001199485
ENSMUSG00000031938	4931406C07Rik	NM_133732
ENSMUSG00000022179	4931414P19Rik	NM_028890
ENSMUSG00000014837	4931428F04Rik	NM_028888
ENSMUSG00000014837	4931428F04Rik	NM_001166394
ENSMUSG00000058670	4932411N23Rik	NM_177705
ENSMUSG00000037270	4932438A13Rik	NM_172679
ENSMUSG00000049357	4933408B17Rik	NM_177773
ENSMUSG00000079304	4933413G19Rik	NM_027697
ENSMUSG00000021133	4933426M11Rik	NM_178682
ENSMUSG00000021133	4933426M11Rik	NM_001242419
ENSMUSG00000020807	4933427D14Rik	NM_028963
ENSMUSG00000027942	4933434E20Rik	NM_025762
ENSMUSG00000027942	4933434E20Rik	NM_027500
ENSMUSG00000034959	5031414D18Rik	NM_198642
ENSMUSG00000036046	5031439G07Rik	NM_001033273
ENSMUSG00000073755	5730409E04Rik	NM_001013755
ENSMUSG00000073755	5730409E04Rik	NM_001145950
ENSMUSG00000073197	5730507C01Rik	NM_001201330
ENSMUSG00000073197	5730507C01Rik	NM_001033157
ENSMUSG00000050549	5730508B09Rik	NM_027482
ENSMUSG00000041605	5730559C18Rik	NM_028872
ENSMUSG00000045968	5830403L16Rik	NM_178243
ENSMUSG00000028331	5830415F09Rik	NM_029086
ENSMUSG00000046111	5830418K08Rik	NM_176976
ENSMUSG00000022195	6030458C11Rik	NM_029998
ENSMUSG00000070814	6330408A02Rik	NM_177312
ENSMUSG00000045917	6330416G13Rik	NM_144905
ENSMUSG00000031824	6430548M08Rik	NM_001163762
ENSMUSG00000031824	6430548M08Rik	NM_172286
ENSMUSG00000031824	6430548M08Rik	NM_001163761
ENSMUSG00000031824	6430548M08Rik	NM_001163760
ENSMUSG00000074646	6430550D23Rik	NM_001145352
ENSMUSG00000074646	6430550D23Rik	NM_001145351
ENSMUSG00000037977	6430571L13Rik	NM_175486
ENSMUSG00000096607	7530416G11Rik	NM_001256072
ENSMUSG00000047466	8030462N17Rik	NM_178670
ENSMUSG00000030060	8430410A17Rik	NM_173737
ENSMUSG00000030207	8430419L09Rik	NM_028982
ENSMUSG00000061411	8430427H17Rik	NM_001134300
ENSMUSG00000061411	8430427H17Rik	NM_001001986
ENSMUSG00000073455	9030025P20Rik	NM_001123370
ENSMUSG00000045008	9030612E09Rik	NM_172419
ENSMUSG00000021185	9030617O03Rik	NM_145448
ENSMUSG00000073158	9030624G23Rik	NM_001256489
ENSMUSG00000030982	9030624J02Rik	NM_027815
ENSMUSG00000039901	9130011E15Rik	NM_198296
ENSMUSG00000030823	9130019O22Rik	NM_030226
ENSMUSG00000062944	9130023H24Rik	NM_177001
ENSMUSG00000022362	9130401M01Rik	NM_029418
ENSMUSG00000027446	9230104L09Rik	NM_029960
ENSMUSG00000053070	9230110C19Rik	NM_199017
ENSMUSG00000059939	9430015G10Rik	NM_145557
ENSMUSG00000059939	9430015G10Rik	NM_177205
ENSMUSG00000025971	9430016H08Rik	NM_001081181
ENSMUSG00000033960	9430020K01Rik	NM_001081963
ENSMUSG00000037204	9430023L20Rik	NM_026566
ENSMUSG00000040139	9430038I01Rik	NM_029886
ENSMUSG00000094447	9430069I07Rik	NM_001256161
ENSMUSG00000036275	9530068E07Rik	NM_153117
ENSMUSG00000036411	9530077C05Rik	NM_026739
ENSMUSG00000038028	9630033F20Rik	NM_177003
ENSMUSG00000074158	9830147E19Rik	NM_001242388
ENSMUSG00000044551	9930012K11Rik	NM_001004155
ENSMUSG00000044551	9930012K11Rik	NM_001112735
ENSMUSG00000052353	9930013L23Rik	NM_030728
ENSMUSG00000046138	9930021J03Rik	NM_172836
ENSMUSG00000069893	9930111J21Rik1	NM_001114679
ENSMUSG00000069892	9930111J21Rik2	NM_173434
ENSMUSG00000027596	a	NM_015770
ENSMUSG00000079144	A130010J15Rik	NM_001160360
ENSMUSG00000079144	A130010J15Rik	NM_001160359
ENSMUSG00000079144	A130010J15Rik	NM_181048
ENSMUSG00000038884	A230050P20Rik	NM_175687
ENSMUSG00000040473	A330021E22Rik	NM_172447
ENSMUSG00000028794	A3galt2	NM_001009819
ENSMUSG00000047613	A430005L14Rik	NM_175287
ENSMUSG00000047613	A430005L14Rik	NM_001163019
ENSMUSG00000056014	A430033K04Rik	NM_183025
ENSMUSG00000074497	A430078G23Rik	NM_001033378
ENSMUSG00000045838	A430105I19Rik	NM_001001982
ENSMUSG00000047878	A4galt	NM_001004150
ENSMUSG00000047878	A4galt	NM_001170954
ENSMUSG00000089844	A530032D15Rik	NM_213615
ENSMUSG00000021510	A530054K11Rik	NM_183146
